地区,区域,生活垃圾清运量,生活垃圾无害化处理量,生活垃圾无害化处理率,生活垃圾无害化处理能力,生活垃圾卫生填埋无害化处理量,生活垃圾卫生焚烧无害化处理量
北京,华北地区,975.1,975.1,100,28591,393.8,399.7
天津,华北地区,294.8,278.5,94.5,10600,142,136.5
河北,华北地区,755.7,754.2,99.8,25342,386.1,343.3
山西,华北地区,478.9,478.1,99.8,13887,345.5,122.6
内蒙古,华北地区,349.3,348.6,99.8,12954,255.5,93.1
辽宁,东北地区,872.2,868.4,99.6,26622,734.3,67.2
吉林,东北地区,470.6,410.5,87.2,15234,270.3,132.2
黑龙江,东北地区,524.9,456.4,86.9,18831,349.3,100.5
上海,华东地区,784.7,784.7,100,29150,394.3,386
江苏,华东地区,1718,1718,100,60665,348.9,1328.7
浙江,华东地区,1474.6,1474.6,100,63626,454.8,981.3
安徽,华东地区,612,612,100,24595,179.5,420.3
福建,华东地区,874.9,873.9,99.9,24896,254.3,585.3
江西,华东地区,448.8,448.8,100,17318,335,113.8
山东,华东地区,1700.8,1700.8,100,57515,499.4,1116.4
河南,华中地区,1019.6,1016.6,99.7,25265,807.7,207.5
湖北,华中地区,954.2,954,100,31397,501.6,409.3
湖南,华中地区,824.5,824.1,100,26647,508.9,311.5
广东,华南地区,3035.4,3031.6,99.9,107304,1739.4,1241.7
广西,华南地区,466.5,466.5,100,15896,313,153.5
海南,华南地区,222.4,222.4,100,6438,80.7,133.7
重庆,西南地区,549.2,549.1,100,17697,292.1,256.9
四川,西南地区,1013.1,1006,99.3,25441,439.7,558.2
贵州,西南地区,338.5,325.3,96.1,15821,184.8,130.4
云南,西南地区,435.8,427.8,98.2,12409,175.2,252.6
西藏,西南地区,53.9,51.8,96,1501,23.3,28.5
陕西,西北地区,650.2,644.1,99.1,19388,642.8,
甘肃,西北地区,281.2,280.5,99.8,10244,159.4,109
青海,西北地区,113.5,109,96,1779,90.7,
宁夏,西北地区,117.7,116.9,99.3,4830,64.4,49.9
新疆,西北地区,390.7,357.2,91.4,14312,339.3,15.5
